"Brasil e Unidade da Federação";"Situação de ocupação na semana de referência";"Total";"10 a 13 anos";"14 ou 15 anos";"16 ou 17 anos"
"Brasil";"Total";"2,9";"3,9";"2,0";"1,8"
"Rondônia";"Total";"1,5";"2,0";"1,1";"1,1"
"Acre";"Total";"6,6";"8,4";"4,9";"4,5"
"Amazonas";"Total";"6,8";"9,2";"4,4";"4,0"
"Roraima";"Total";"5,0";"6,3";"3,5";"3,8"
"Pará";"Total";"5,9";"8,4";"3,6";"3,2"
"Amapá";"Total";"3,7";"5,2";"2,2";"2,1"
"Tocantins";"Total";"2,9";"3,9";"1,8";"2,0"
"Maranhão";"Total";"7,0";"9,8";"4,2";"4,0"
"Piauí";"Total";"5,9";"8,2";"3,7";"3,6"
"Ceará";"Total";"3,9";"5,1";"2,9";"2,7"
"Rio Grande do Norte";"Total";"5,6";"7,8";"3,4";"3,5"
"Paraíba";"Total";"5,0";"6,4";"3,6";"3,7"
"Pernambuco";"Total";"5,2";"6,7";"3,8";"3,5"
"Alagoas";"Total";"7,9";"10,4";"5,5";"5,4"
"Sergipe";"Total";"5,1";"6,7";"3,4";"3,5"
"Bahia";"Total";"4,5";"6,1";"3,1";"2,6"
"Minas Gerais";"Total";"1,4";"1,6";"1,1";"1,1"
"Espírito Santo";"Total";"1,5";"1,9";"1,3";"1,0"
"Rio de Janeiro";"Total";"1,6";"2,1";"1,1";"0,9"
"São Paulo";"Total";"1,1";"1,4";"0,9";"0,8"
"Paraná";"Total";"1,0";"1,2";"0,8";"0,8"
"Santa Catarina";"Total";"0,9";"1,1";"0,6";"0,7"
"Rio Grande do Sul";"Total";"1,2";"1,4";"1,0";"0,9"
"Mato Grosso do Sul";"Total";"1,3";"1,7";"1,0";"0,8"
"Mato Grosso";"Total";"1,8";"2,3";"1,3";"1,2"
"Goiás";"Total";"1,3";"1,7";"0,9";"0,9"
"Distrito Federal";"Total";"1,0";"1,3";"1,1";"0,5"
"Fonte: IBGE - Censo Demográfico"
