Código IBGE;Municipio;Número de matriculas no Ensino Fundamental - Total (Número) : 2000;Número de matriculas no Ensino Fundamental - Total (Número) : 2001;Número de matriculas no Ensino Fundamental - Total (Número) : 2002;Número de matriculas no Ensino Fundamental - Total (Número) : 2003;Número de matriculas no Ensino Fundamental - Total (Número) : 2004;Número de matriculas no Ensino Fundamental - Total (Número) : 2005;Número de matriculas no Ensino Fundamental - Total (Número) : 2006;Número de matriculas no Ensino Fundamental - Total (Número) : 2007;Número de matriculas no Ensino Fundamental - Total (Número) : 2008;Número de matriculas no Ensino Fundamental - Total (Número) : 2009;Número de matriculas no Ensino Fundamental - Total (Número) : 2010;Número de matriculas no Ensino Fundamental - Total (Número) : 2011;Número de matriculas no Ensino Fundamental - Total (Número) : 2012;Número de matriculas no Ensino Fundamental - Total (Número) : 2013;Número de matriculas no Ensino Fundamental - Total (Número) : 2014;Número de matriculas no Ensino Fundamental - Total (Número) : 2015;Número de matriculas no Ensino Fundamental - Total (Número) : 2016;Número de matriculas no Ensino Fundamental - Total (Número) : 2017;Número de matriculas no Ensino Fundamental - Total (Número) : 2018
;;Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual)
33;Estado RJ;2.472.017;2.463.074;2.474.530;2.470.264;2.474.150;2.479.105;2.425.991;2.307.715;2.387.714;2.353.532;2.305.338;2.277.461;2.233.437;2.222.442;2.148.840;2.074.921;2.047.208;2.019.459;2.003.315
330010;Angra dos Reis;27.467;28.263;28.084;28.275;28.641;30.052;29.663;28.640;28.879;28.938;27.470;26.833;26.742;26.078;25.476;24.446;23.862;21.823;22.335
330015;Aperibé;1.454;1.417;1.580;1.602;1.408;1.361;1.371;1.308;1.272;1.242;1.221;1.263;1.242;1.288;1.171;1.075;1.032;942;971
330020;Araruama;19.906;20.436;21.012;21.366;21.478;19.148;19.481;19.229;19.371;19.221;19.024;18.664;18.810;18.405;18.128;17.999;17.838;17.766;17.589
330022;Areal;2.363;2.413;2.403;2.381;2.293;2.113;2.066;1.979;1.958;1.871;1.812;1.677;1.614;1.622;1.547;1.459;1.393;1.392;1.385
330023;Armação dos Búzios;4.192;4.431;4.687;4.926;5.086;5.103;5.359;5.183;5.642;5.795;5.778;5.650;5.973;5.798;5.709;5.870;6.101;6.389;6.656
330025;Arraial do Cabo;4.362;4.482;4.635;4.658;4.740;4.853;4.685;4.680;4.603;4.570;4.445;4.286;4.238;4.143;4.122;4.013;4.024;4.036;4.146
330030;Barra do Piraí;14.625;14.387;14.459;14.283;14.044;13.747;13.695;13.018;12.594;12.496;12.373;12.216;11.952;11.895;11.491;11.028;10.670;10.438;10.329
330040;Barra Mansa;31.474;30.495;29.985;29.007;29.427;28.355;27.072;25.953;25.531;25.253;24.642;24.012;22.672;22.546;22.114;21.614;21.218;20.615;19.855
330045;Belford Roxo;78.832;78.714;81.049;77.302;78.956;86.199;83.947;81.842;83.701;81.017;76.041;74.645;73.405;69.896;65.223;61.815;61.073;60.393;59.694
330050;Bom Jardim;4.143;4.298;4.431;4.377;4.218;4.195;4.245;4.275;4.215;4.250;4.307;4.306;4.148;4.188;4.041;3.885;3.750;3.703;3.632
330060;Bom Jesus do Itabapoana;6.814;6.776;6.761;6.888;6.924;7.016;6.697;6.709;6.685;6.335;6.122;5.988;5.517;5.419;5.220;5.034;4.839;4.715;4.735
330070;Cabo Frio;24.941;26.247;27.471;28.236;28.868;30.118;30.657;30.794;31.262;31.435;30.883;30.416;30.275;30.742;30.448;30.074;28.852;28.494;28.685
330080;Cachoeiras de Macacu;9.884;9.988;9.930;9.874;9.973;10.086;10.185;10.056;9.364;9.445;9.128;8.736;8.703;8.586;8.342;7.968;7.586;7.656;7.586
330090;Cambuci;2.443;2.491;2.542;2.399;2.407;2.307;2.237;2.280;2.168;2.028;1.980;1.848;1.869;1.927;1.805;1.796;1.685;1.705;1.615
330100;Campos dos Goytacazes;84.721;83.241;83.046;80.906;81.211;77.863;74.005;74.915;77.558;75.833;74.548;74.425;73.959;73.285;72.456;70.112;68.768;68.085;66.183
330110;Cantagalo;3.856;3.787;3.704;3.682;3.489;3.461;3.414;3.245;3.269;3.158;3.081;2.930;2.828;2.792;2.623;2.508;2.466;2.391;2.365
330093;Carapebus;2.034;1.901;2.025;1.987;2.136;2.161;2.161;2.214;2.142;2.133;1.933;1.875;1.880;1.891;1.805;1.859;1.771;1.746;1.759
330115;Cardoso Moreira;2.824;2.577;2.557;2.788;2.704;2.698;2.621;2.396;2.278;2.230;2.103;2.080;2.102;2.079;2.020;1.862;1.895;1.919;1.950
330120;Carmo;2.739;2.808;2.849;2.817;2.811;2.851;2.759;2.728;2.699;2.772;2.647;2.646;2.571;2.459;2.359;2.307;2.240;2.184;2.126
330130;Casimiro de Abreu;5.971;6.059;6.325;6.514;6.616;6.281;6.203;5.828;5.825;6.066;6.186;6.120;6.048;6.015;6.021;6.163;6.144;6.261;6.335
330095;Comendador Levy Gasparian;1.844;1.739;1.904;1.786;1.817;1.811;1.784;1.721;1.604;1.560;1.559;1.530;1.455;1.438;1.298;1.245;1.218;1.181;1.193
330140;Conceição de Macabu;4.278;3.920;3.905;4.037;3.982;3.842;3.848;3.578;3.559;3.690;3.393;3.362;3.359;3.326;3.237;3.099;3.091;3.058;3.007
330150;Cordeiro;3.326;3.173;3.279;3.304;3.261;3.143;3.213;3.247;3.121;3.176;3.163;2.979;3.005;2.932;2.796;2.793;2.664;2.629;2.533
330160;Duas Barras;2.273;2.203;2.426;2.373;2.498;2.315;2.294;2.177;2.077;2.023;1.924;1.882;1.726;1.704;1.605;1.574;1.559;1.468;1.439
330170;Duque de Caxias;152.743;154.074;159.921;158.909;165.817;168.378;166.152;159.900;162.271;155.373;140.221;137.597;131.810;130.002;126.813;122.289;119.662;116.498;116.518
330180;Engenheiro Paulo de Frontin;2.398;2.397;2.360;2.305;2.128;2.062;2.040;2.016;2.014;2.011;1.919;1.837;1.753;1.670;1.558;1.448;1.438;1.407;1.389
330185;Guapimirim;7.070;7.601;7.839;7.794;7.761;7.628;7.456;7.674;7.416;7.577;7.410;7.371;7.459;7.447;7.216;7.079;6.925;7.031;7.071
330187;Iguaba Grande;3.001;3.078;3.203;3.421;3.590;3.687;3.552;3.512;3.768;3.714;3.682;3.781;3.785;3.874;3.806;3.757;3.761;3.766;3.805
330190;Itaboraí;39.191;38.826;40.007;40.125;39.646;39.544;39.117;40.169;40.443;39.401;39.009;38.075;36.776;34.855;34.070;32.817;31.978;31.262;30.918
330200;Itaguaí;19.690;19.570;19.837;19.625;19.126;22.553;22.397;22.339;20.154;20.307;20.020;19.668;19.812;18.989;19.044;18.358;18.169;18.042;17.489
330205;Italva;2.232;2.089;1.942;1.904;1.954;1.958;1.959;1.908;1.771;1.785;1.792;1.736;1.717;1.783;1.653;1.656;1.605;1.585;1.552
330210;Itaocara;3.937;3.767;3.751;3.682;3.448;3.413;3.320;3.209;3.228;3.214;3.104;2.988;2.916;2.970;2.838;2.833;2.657;2.630;2.600
330220;Itaperuna;15.709;15.707;15.635;15.206;14.946;14.299;13.819;13.812;13.646;13.454;13.276;13.137;12.799;12.396;11.837;11.694;11.357;11.155;11.135
330225;Itatiaia;5.240;5.177;4.371;4.381;4.462;4.369;4.236;4.173;4.343;4.268;4.047;4.000;4.006;3.855;3.730;3.719;3.675;3.691;3.655
330227;Japeri;18.512;18.462;17.974;18.507;18.724;19.201;18.733;19.163;18.767;18.344;18.162;17.957;16.859;16.629;16.365;15.377;14.631;13.841;13.612
330230;Laje do Muriaé;1.517;1.531;1.493;1.524;1.517;1.526;1.467;1.413;1.351;1.329;1.241;1.207;1.160;1.216;1.104;1.035;952;954;925
330240;Macaé;26.124;26.491;26.572;27.671;28.093;29.540;29.794;30.157;30.797;30.890;31.140;31.612;31.610;32.261;32.423;32.664;32.170;32.320;32.268
330245;Macuco;1.450;1.444;1.372;1.384;1.348;1.289;1.251;1.254;1.253;1.208;1.183;1.181;1.185;1.252;1.211;1.160;1.170;1.132;1.157
330250;Magé;42.201;45.162;45.398;45.578;45.913;49.208;44.883;45.747;45.671;45.023;43.533;41.531;39.976;39.169;37.761;36.013;36.062;35.838;35.803
