Código IBGE;Municipio;Número de estabelecimentos de educação infantil - Estadual (Número) : 2000;Número de estabelecimentos de educação infantil - Estadual (Número) : 2001;Número de estabelecimentos de educação infantil - Estadual (Número) : 2002;Número de estabelecimentos de educação infantil - Estadual (Número) : 2003;Número de estabelecimentos de educação infantil - Estadual (Número) : 2004;Número de estabelecimentos de educação infantil - Estadual (Número) : 2005;Número de estabelecimentos de educação infantil - Estadual (Número) : 2006;Número de estabelecimentos de educação infantil - Estadual (Número) : 2007;Número de estabelecimentos de educação infantil - Estadual (Número) : 2008;Número de estabelecimentos de educação infantil - Estadual (Número) : 2009;Número de estabelecimentos de educação infantil - Estadual (Número) : 2010;Número de estabelecimentos de educação infantil - Estadual (Número) : 2011;Número de estabelecimentos de educação infantil - Estadual (Número) : 2012;Número de estabelecimentos de educação infantil - Estadual (Número) : 2013;Número de estabelecimentos de educação infantil - Estadual (Número) : 2014;Número de estabelecimentos de educação infantil - Estadual (Número) : 2015;Número de estabelecimentos de educação infantil - Estadual (Número) : 2016;Número de estabelecimentos de educação infantil - Estadual (Número) : 2017;Número de estabelecimentos de educação infantil - Estadual (Número) : 2018
;;Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual)
33;Estado RJ;403;354;357;364;312;218;181;155;61;20;8;7;4;3;3;3;3;3;3
330010;Angra dos Reis;5;3;3;3;1;1;1;2;1;1;1;1;1;-;-;-;-;-;-
330015;Aperibé;3;2;2;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-
330020;Araruama;1;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-
330022;Areal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330023;Armação dos Búzios;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330025;Arraial do Cabo;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
330030;Barra do Piraí;7;6;6;5;5;5;4;4;2;-;-;-;-;-;-;-;-;-;-
330040;Barra Mansa;5;8;10;10;9;6;5;5;1;-;-;-;-;-;-;-;-;-;-
