Código IBGE;Municipio;Número de matrículas na educação infantil - Total (Número) : 2000;Número de matrículas na educação infantil - Total (Número) : 2001;Número de matrículas na educação infantil - Total (Número) : 2002;Número de matrículas na educação infantil - Total (Número) : 2003;Número de matrículas na educação infantil - Total (Número) : 2004;Número de matrículas na educação infantil - Total (Número) : 2005;Número de matrículas na educação infantil - Total (Número) : 2006;Número de matrículas na educação infantil - Total (Número) : 2007;Número de matrículas na educação infantil - Total (Número) : 2008;Número de matrículas na educação infantil - Total (Número) : 2009;Número de matrículas na educação infantil - Total (Número) : 2010;Número de matrículas na educação infantil - Total (Número) : 2011;Número de matrículas na educação infantil - Total (Número) : 2012;Número de matrículas na educação infantil - Total (Número) : 2013;Número de matrículas na educação infantil - Total (Número) : 2014;Número de matrículas na educação infantil - Total (Número) : 2015;Número de matrículas na educação infantil - Total (Número) : 2016;Número de matrículas na educação infantil - Total (Número) : 2017;Número de matrículas na educação infantil - Total (Número) : 2018
;;Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual)
33;Estado RJ;442.992;476.851;502.621;532.556;495.862;510.876;485.893;435.416;470.350;471.785;471.128;501.956;525.757;554.167;581.639;577.739;592.768;607.627;619.058
330010;Angra dos Reis;2.053;2.630;2.964;3.521;3.796;3.772;3.539;3.952;4.053;4.095;4.001;3.745;4.684;4.459;4.870;4.678;5.258;5.253;5.399
330015;Aperibé;434;498;473;506;531;561;481;504;478;501;468;482;488;473;523;517;535;576;586
330020;Araruama;2.377;2.898;2.896;2.471;2.411;2.828;3.443;3.191;3.420;3.823;3.948;3.970;4.496;4.401;4.814;4.532;4.777;4.722;4.565
330022;Areal;434;445;373;400;426;450;428;404;404;365;361;378;413;403;408;422;505;521;519
330023;Armação dos Búzios;637;698;733;886;991;1.012;776;732;978;1.017;1.034;987;1.031;1.200;1.229;1.429;1.674;1.828;1.797
330025;Arraial do Cabo;1.124;1.078;1.238;1.409;1.485;1.560;1.421;1.371;1.424;1.408;1.345;1.396;1.565;1.606;1.614;1.595;1.655;1.829;1.789
330030;Barra do Piraí;3.731;3.628;3.643;3.522;3.583;3.544;3.616;3.630;3.513;3.431;3.406;3.194;3.217;3.270;3.355;3.360;3.484;3.584;3.661
330040;Barra Mansa;3.101;3.053;3.365;3.929;2.836;3.298;3.546;3.687;3.563;3.639;3.713;3.917;3.984;4.081;4.199;4.073;3.825;3.850;4.653
330045;Belford Roxo;6.006;6.479;6.828;6.978;6.124;5.893;6.086;5.019;4.896;7.007;10.166;9.322;10.558;10.863;9.967;9.774;10.225;10.401;11.283
330050;Bom Jardim;785;784;849;930;980;992;993;996;1.094;1.030;999;896;997;1.046;1.057;1.068;1.082;1.082;1.151
330060;Bom Jesus do Itabapoana;1.723;2.215;2.264;2.432;2.135;2.060;1.899;1.731;1.780;1.762;1.644;1.561;1.535;1.697;1.671;1.759;1.856;1.892;1.914
330070;Cabo Frio;4.647;5.368;5.845;5.884;5.707;5.951;6.295;6.379;6.741;7.477;7.502;8.066;8.486;8.987;8.930;8.572;8.710;9.213;9.668
330080;Cachoeiras de Macacu;2.028;1.803;1.954;1.952;1.873;1.962;1.981;1.862;1.902;1.996;1.899;2.004;2.122;2.273;2.216;2.261;2.114;2.214;2.374
330090;Cambuci;686;791;721;695;696;739;734;656;601;638;582;525;523;531;532;622;527;555;591
330100;Campos dos Goytacazes;19.778;19.561;19.533;20.625;19.437;19.301;17.773;18.572;21.322;20.671;20.597;22.266;22.374;22.601;22.798;22.250;22.871;23.037;22.236
330110;Cantagalo;921;936;837;870;861;874;683;733;674;645;663;727;730;722;712;681;695;541;638
330093;Carapebus;443;484;514;523;529;536;535;494;531;590;485;571;597;570;553;587;593;642;737
330115;Cardoso Moreira;547;504;579;518;657;659;589;561;531;533;568;584;587;617;626;604;681;646;679
330120;Carmo;738;768;859;832;708;765;783;867;838;832;825;790;790;823;820;781;827;839;787
330130;Casimiro de Abreu;1.353;1.348;1.578;1.751;1.798;1.914;1.950;1.863;1.892;1.977;1.958;2.000;2.160;2.195;2.384;2.482;2.512;2.639;2.596
330095;Comendador Levy Gasparian;382;419;481;485;469;499;437;444;425;387;445;461;460;433;440;439;458;452;452
330140;Conceição de Macabu;1.211;1.133;1.108;1.269;1.209;1.126;1.093;991;1.115;1.136;948;1.058;1.061;1.035;1.117;1.085;1.135;1.103;1.220
330150;Cordeiro;1.098;1.065;1.050;1.016;982;914;969;941;989;952;951;964;893;913;1.001;976;1.010;1.020;1.057
330160;Duas Barras;611;583;617;763;790;700;665;695;630;607;540;560;606;558;575;535;547;533;550
330170;Duque de Caxias;10.311;11.603;11.925;14.360;12.896;12.895;12.177;10.461;11.903;13.602;13.798;15.745;16.996;18.239;20.750;21.095;21.872;22.872;23.905
330180;Engenheiro Paulo de Frontin;480;511;531;495;501;548;552;490;464;447;434;410;410;416;439;466;455;494;474
330185;Guapimirim;1.217;803;1.035;1.073;1.075;1.165;1.174;1.280;1.621;1.752;1.763;1.925;1.914;1.976;2.048;1.982;1.977;2.095;2.234
330187;Iguaba Grande;386;701;763;764;829;838;793;783;925;947;941;990;1.027;1.099;1.220;1.248;1.392;1.425;1.492
330190;Itaboraí;2.567;2.492;2.972;3.125;2.792;3.779;3.788;4.055;4.290;4.391;4.958;5.389;6.184;6.233;6.450;6.622;6.603;6.867;7.134
330200;Itaguaí;2.835;2.950;3.339;3.424;3.214;3.407;4.262;4.080;4.166;4.555;4.591;4.862;5.070;5.834;6.242;5.817;6.461;6.254;6.221
330205;Italva;420;470;525;564;643;548;535;534;559;530;511;532;542;536;543;556;515;539;569
330210;Itaocara;1.052;1.064;984;998;1.023;1.031;988;967;988;895;822;864;850;876;715;788;768;775;891
330220;Itaperuna;3.988;4.336;4.245;4.029;3.904;3.891;3.808;3.846;3.705;3.615;3.525;3.607;3.569;3.640;3.713;3.834;4.022;4.189;4.227
330225;Itatiaia;1.406;1.276;1.469;1.460;1.502;1.344;1.328;1.273;1.014;1.038;1.163;1.097;1.103;1.186;1.318;1.387;1.544;1.499;1.512
330227;Japeri;446;399;1.413;1.547;1.158;1.854;1.810;1.878;1.803;1.977;2.109;2.094;2.133;2.585;2.633;2.623;2.501;2.368;2.457
330230;Laje do Muriaé;406;443;439;419;444;418;392;364;339;305;267;304;243;286;271;303;334;356;355
330240;Macaé;7.993;8.464;9.335;9.930;10.200;10.280;10.213;10.383;10.575;10.713;10.130;10.275;10.617;10.973;12.147;12.248;13.324;13.623;14.231
330245;Macuco;296;309;353;351;346;335;329;322;352;356;365;350;421;409;425;384;391;396;416
330250;Magé;1.502;2.547;3.412;3.755;3.505;4.764;5.031;6.911;7.573;9.137;7.190;6.992;7.107;7.084;7.577;7.762;8.319;9.215;10.018
330260;Mangaratiba;1.314;1.344;1.354;1.433;1.729;1.783;1.671;1.704;1.743;1.572;1.637;1.649;1.817;1.848;1.961;2.004;2.018;2.232;2.273
330270;Maricá;2.212;2.878;2.705;3.432;3.234;3.222;3.054;2.795;3.007;3.453;3.540;3.791;4.131;4.679;4.533;4.558;4.652;4.645;5.221
330280;Mendes;1.010;862;817;838;835;833;767;714;762;735;795;773;781;773;777;809;839;852;915
330285;Mesquita;-;2.402;2.585;2.719;2.404;2.931;3.295;3.242;3.181;3.299;3.104;3.477;3.510;3.772;3.739;3.861;4.489;4.714;4.898
330290;Miguel Pereira;906;925;897;1.024;1.067;1.024;1.053;932;1.024;963;931;924;968;1.073;1.040;1.054;1.071;1.059;1.131
