"Brasil e Unidade da Federação";"Situação de ocupação na semana de referência";"Total";"10 a 13 anos";"14 ou 15 anos";"16 ou 17 anos"
"Brasil";"Total";"8,5";"3,0";"7,4";"20,7"
"Rondônia";"Total";"9,6";"2,8";"8,5";"24,1"
"Acre";"Total";"12,9";"6,9";"12,9";"26,5"
"Amazonas";"Total";"12,2";"7,3";"12,3";"22,8"
"Roraima";"Total";"11,2";"7,2";"9,7";"22,0"
"Pará";"Total";"10,1";"4,5";"9,5";"22,4"
"Amapá";"Total";"8,6";"3,2";"8,1";"20,4"
"Tocantins";"Total";"7,4";"2,2";"6,2";"19,4"
"Maranhão";"Total";"8,7";"3,5";"8,1";"20,4"
"Piauí";"Total";"7,2";"2,2";"6,3";"18,1"
"Ceará";"Total";"9,3";"3,0";"7,9";"23,2"
"Rio Grande do Norte";"Total";"8,7";"2,6";"7,9";"21,4"
"Paraíba";"Total";"9,0";"2,6";"8,4";"22,3"
"Pernambuco";"Total";"9,3";"3,3";"8,9";"21,9"
"Alagoas";"Total";"10,1";"4,0";"10,0";"23,1"
"Sergipe";"Total";"7,4";"2,3";"6,9";"18,2"
"Bahia";"Total";"8,3";"2,9";"7,4";"20,0"
"Minas Gerais";"Total";"8,1";"2,3";"6,9";"20,7"
"Espírito Santo";"Total";"9,2";"2,6";"7,9";"23,9"
"Rio de Janeiro";"Total";"6,9";"2,8";"6,4";"16,0"
"São Paulo";"Total";"7,6";"2,9";"6,5";"18,1"
"Paraná";"Total";"9,2";"2,3";"7,5";"24,5"
"Santa Catarina";"Total";"9,1";"1,8";"7,0";"25,4"
"Rio Grande do Sul";"Total";"8,0";"1,9";"5,8";"22,4"
"Mato Grosso do Sul";"Total";"9,9";"2,5";"8,6";"25,7"
"Mato Grosso";"Total";"9,3";"3,1";"7,8";"23,1"
"Goiás";"Total";"8,1";"2,4";"6,7";"21,0"
"Distrito Federal";"Total";"6,0";"2,3";"4,8";"14,8"
"Fonte: IBGE - Censo Demográfico"
